-70.22,44.63
-70.56,47.95
-70.74,51.33
-70.76,54.75
-70.61,58.22
-70.30,61.72
-69.83,65.24
-69.19,68.78
-68.37,72.32
-67.39,75.87
-66.23,79.41
-64.90,82.94
-63.40,86.45
-61.73,89.92
-59.89,93.35
-57.88,96.74
-55.71,100.07
-53.36,103.34
-50.86,106.53
-48.19,109.65
-45.37,112.68
-42.40,115.62
-39.27,118.46
-36.00,121.19
-32.59,123.80
-29.04,126.29
-25.36,128.65
-21.55,130.88
-17.63,132.97
-13.59,134.91
-9.44,136.70
-5.19,138.34
-0.85,139.81
3.59,141.11
8.10,142.24
12.68,143.20
17.34,143.98
22.04,144.58
26.80,144.99
31.60,145.21
36.44,145.25
41.30,145.09
46.18,144.74
51.06,144.20
55.95,143.46
60.83,142.53
65.69,141.40
70.53,140.07
75.33,138.55
80.09,136.84
84.80,134.94
89.45,132.85
94.04,130.57
98.55,128.11
102.97,125.46
107.31,122.64
111.55,119.64
115.68,116.48
119.69,113.15
123.59,109.65
127.36,106.00
130.99,102.21
134.48,98.26
137.83,94.18
141.02,89.97
144.06,85.63
146.93,81.17
149.63,76.60
152.16,71.92
154.51,67.15
156.67,62.29
158.65,57.34
160.45,52.33
162.04,47.24
163.45,42.10
164.66,36.91
165.66,31.68
166.47,26.41
167.08,21.13
167.48,15.82
167.68,10.52
167.68,5.21
167.47,-0.09
167.07,-5.36
166.46,-10.61
165.65,-15.82
164.65,-20.99
163.45,-26.11
162.06,-31.16
160.49,-36.14
158.72,-41.05
156.78,-45.87
154.65,-50.60
152.36,-55.23
149.89,-59.75
147.26,-64.16
144.48,-68.44
141.54,-72.60
138.45,-76.63
135.23,-80.51
131.87,-84.26
128.38,-87.85
124.77,-91.29
121.05,-94.56
117.23,-97.68
113.30,-100.62
109.29,-103.39
105.19,-105.99
101.02,-108.41
96.78,-110.65
92.48,-112.71
88.13,-114.58
83.74,-116.27
79.31,-117.77
74.86,-119.08
70.39,-120.20
65.91,-121.14
61.44,-121.89
56.97,-122.45
52.51,-122.83
48.09,-123.02
43.69,-123.03
39.33,-122.86
35.02,-122.51
30.77,-121.99
26.58,-121.30
22.47,-120.45
18.43,-119.43
14.47,-118.25
10.61,-116.92
6.84,-115.44
3.18,-113.81
-0.37,-112.05
-3.81,-110.16
-7.12,-108.14
-10.30,-106.00
-13.36,-103.75
-16.28,-101.39
-19.06,-98.93
-21.69,-96.38
-24.18,-93.74
-26.51,-91.03
-28.69,-88.24
-30.72,-85.40
-32.58,-82.49
-34.29,-79.54
-35.83,-76.55
-37.22,-73.53
-38.44,-70.49
-39.49,-67.43
-40.38,-64.36
-41.11,-61.30
-41.68,-58.24
-42.09,-55.19
-42.33,-52.17
-42.43,-49.19
-42.36,-46.24
-42.14,-43.34
-41.78,-40.49
-41.27,-37.70
-40.61,-34.98
-39.82,-32.33
-38.89,-29.77
-37.84,-27.29
-36.66,-24.90
-35.36,-22.62
-33.95,-20.44
-32.42,-18.36
-30.80,-16.41
-29.08,-14.57
-27.27,-12.86
-25.38,-11.27
-23.41,-9.82
-21.38,-8.51
-19.28,-7.33
-17.12,-6.29
-14.92,-5.40
-12.68,-4.65
-10.40,-4.06
-8.10,-3.61
-5.79,-3.31
-3.46,-3.16
-1.13,-3.16
1.19,-3.31
3.50,-3.61
5.79,-4.07
8.05,-4.67
10.27,-5.41
12.45,-6.31
14.58,-7.34
16.65,-8.51
18.65,-9.82
20.58,-11.27
22.43,-12.84
24.20,-14.54
25.87,-16.36
27.44,-18.30
28.91,-20.35
30.27,-22.50
31.51,-24.76
32.63,-27.11
33.63,-29.55
34.49,-32.07
35.22,-34.67
35.81,-37.34
36.25,-40.08
36.55,-42.86
36.70,-45.70
36.70,-48.58
36.54,-51.50
36.22,-54.44
35.75,-57.40
35.11,-60.37
34.32,-63.34
33.36,-66.31
32.24,-69.26
30.96,-72.20
29.52,-75.11
27.92,-77.98
26.16,-80.80
24.24,-83.58
22.16,-86.29
19.94,-88.94
17.56,-91.51
15.04,-94.00
12.37,-96.40
9.56,-98.71
6.62,-100.91
3.54,-103.00
0.34,-104.97
-2.98,-106.82
-6.42,-108.54
-9.97,-110.13
-13.62,-111.57
-17.38,-112.87
-21.22,-114.02
-25.15,-115.02
-29.16,-115.85
-33.24,-116.52
-37.39,-117.02
-41.59,-117.35
-45.84,-117.50
-50.13,-117.48
-54.45,-117.28
-58.80,-116.89
-63.17,-116.33
-67.55,-115.58
-71.92,-114.64
-76.29,-113.52
-80.65,-112.21
-84.97,-110.71
-89.27,-109.03
-93.53,-107.16
-97.73,-105.11
-101.88,-102.88
-105.97,-100.48
-109.98,-97.89
-113.90,-95.13
-117.74,-92.20
-121.48,-89.10
-125.12,-85.84
-128.65,-82.42
-132.05,-78.85
-135.34,-75.12
-138.48,-71.26
-141.49,-67.25
-144.36,-63.11
